base_strategy,h2l_filter,case_id,complexity,P@5,R@5,F1@5,nDCG@5,MAP,MRR
bm25_only,OFF,HOMELESS_003_ESC_01,complex,0.2,0.5,0.28571428571428575,0.6131471927654584,0.5909090909090909,1.0
bm25_only,OFF,ADV_001,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_003,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_SH_POS,moderate,0.4,0.6666666666666666,0.5,0.7653606369886217,0.8095238095238094,1.0
bm25_only,OFF,NEG_SH_NEG,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_SM_POS,simple,0.2,0.3333333333333333,0.25,0.46927872602275644,0.4658119658119659,1.0
bm25_only,OFF,NEG_SM_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_SL_POS,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_SL_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_MH_POS,complex,0.6,0.6,0.6,0.8347911247384279,0.7797979797979798,1.0
bm25_only,OFF,NEG_MH_NEG,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_MM_POS,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_MM_NEG,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_ML_POS,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_ML_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_LH_POS,complex,0.4,0.5,0.4444444444444445,0.44149241373678083,0.5166666666666666,0.5
bm25_only,OFF,NEG_LH_NEG,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_LM_POS,complex,0.2,1.0,0.33333333333333337,0.6309297535714574,0.5,0.5
bm25_only,OFF,NEG_LM_NEG,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_LL_POS,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_LL_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_SH_POS_V2,moderate,0.4,0.5,0.4444444444444445,0.3973220069685352,0.3541208791208791,0.5
bm25_only,OFF,NEG_SH_NEG_V2,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_SM_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_SM_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_SL_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_SL_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_MH_POS_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_MH_NEG_V2,complex,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693
bm25_only,OFF,NEG_MM_POS_V2,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_MM_NEG_V2,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_ML_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_ML_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_LH_POS_V2,complex,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693
bm25_only,OFF,NEG_LH_NEG_V2,complex,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142
bm25_only,OFF,NEG_LM_POS_V2,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
bm25_only,OFF,NEG_LM_NEG_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_LL_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NEG_LL_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,SHORT_ELDER_01,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
bm25_only,OFF,SHORT_HOMELESS_01,simple,0.6,0.75,0.6666666666666665,0.41363780175807613,0.7333333333333333,1.0
bm25_only,OFF,SHORT_MENTAL_01,simple,0.4,0.6666666666666666,0.5,0.9072836011519267,0.7435897435897436,1.0
bm25_only,OFF,SHORT_CHILD_01,simple,0.8,0.8,0.8000000000000002,0.8687949224876582,0.876923076923077,1.0
bm25_only,OFF,SHORT_ABUSE_01,simple,0.8,1.0,0.888888888888889,0.9047172294870751,0.8041666666666667,1.0
bm25_only,OFF,TINY_ABUSE_01,simple,0.2,0.5,0.28571428571428575,0.6131471927654584,0.6666666666666666,1.0
bm25_only,OFF,TINY_MENTAL_01,simple,0.4,1.0,0.5714285714285715,1.0,1.0,1.0
bm25_only,OFF,TINY_HOMELESS_01,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_006,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_007,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_009,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5
bm25_only,OFF,ADV_010,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_011,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_012,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_013,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_014,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_015,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_016,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_017,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_018,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ADV_019,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5
bm25_only,OFF,ADV_020,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,CHILD_004,moderate,0.4,0.6666666666666666,0.5,0.7653606369886217,0.7777777777777778,1.0
bm25_only,ON,ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ELDER_009,moderate,0.2,1.0,0.33333333333333337,0.5,0.3333333333333333,0.3333333333333333
bm25_only,ON,DISABLED_004,moderate,0.0,0.0,0.0,0.0,0.12698412698412698,0.1111111111111111
bm25_only,ON,DISABLED_006,moderate,0.6,0.75,0.6666666666666665,0.8227897826439886,0.726923076923077,1.0
bm25_only,ON,HOMELESS_003,simple,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
bm25_only,ON,MENTAL_006,complex,0.2,1.0,0.33333333333333337,0.38685280723454163,0.2,0.2
bm25_only,ON,MENTAL_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,MENTAL_009,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,SUBSTANCE_003,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NCD_001,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NCD_004,complex,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667
bm25_only,ON,NCD_008,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,HIV_TB_003,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,BEDRIDDEN_003,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
bm25_only,ON,BEDRIDDEN_004,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
bm25_only,ON,BEDRIDDEN_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,REHAB_002,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
bm25_only,ON,FINANCE_001,simple,0.4,0.6666666666666666,0.5,0.878961873034099,0.7666666666666666,1.0
bm25_only,ON,LOVE_004,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,FAMILY_001,moderate,0.4,1.0,0.5714285714285715,0.8503449055347546,0.7,1.0
bm25_only,ON,VIOLENCE_004,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,CHILD_004_PAR_01,moderate,0.4,0.6666666666666666,0.5,0.7653606369886217,0.7777777777777778,1.0
bm25_only,ON,DISABLED_004_PAR_01,moderate,0.0,0.0,0.0,0.0,0.11858974358974358,0.08333333333333333
bm25_only,ON,DISABLED_006_PAR_01,moderate,0.6,0.75,0.6666666666666665,0.8810783669439536,0.8409090909090909,1.0
bm25_only,ON,MENTAL_008_PAR_01,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,SUBSTANCE_003_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NCD_001_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,FINANCE_001_PAR_01,simple,0.4,0.6666666666666666,0.5,0.878961873034099,0.7777777777777778,1.0
bm25_only,ON,FAMILY_001_PAR_01,moderate,0.4,1.0,0.5714285714285715,0.8772153153380493,0.75,1.0
bm25_only,ON,HOMELESS_003_ESC_01,complex,0.2,0.3333333333333333,0.25,0.46927872602275644,0.4653679653679654,1.0
bm25_only,ON,ADV_001,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_003,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_005,moderate,0.0,0.0,0.0,0.0,0.1,0.1
bm25_only,ON,NEG_SH_POS,moderate,0.6,1.0,0.7499999999999999,0.9674679834891693,0.9166666666666666,1.0
bm25_only,ON,NEG_SH_NEG,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_SM_POS,simple,0.4,1.0,0.5714285714285715,0.6509209298071326,0.5,0.5
bm25_only,ON,NEG_SM_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_SL_POS,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_SL_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_MH_POS,complex,0.6,0.6,0.6,0.8347911247384279,0.7633333333333333,1.0
bm25_only,ON,NEG_MH_NEG,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_MM_POS,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_MM_NEG,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_ML_POS,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_ML_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_LH_POS,complex,0.6,1.0,0.7499999999999999,0.7122630665145961,0.5888888888888889,0.5
bm25_only,ON,NEG_LH_NEG,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_LM_POS,complex,0.2,1.0,0.33333333333333337,0.5,0.3333333333333333,0.3333333333333333
bm25_only,ON,NEG_LM_NEG,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_LL_POS,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_LL_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_SH_POS_V2,moderate,0.6,0.75,0.6666666666666665,0.8318724637288826,0.8928571428571428,1.0
bm25_only,ON,NEG_SH_NEG_V2,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_SM_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_SM_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_SL_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_SL_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_MH_POS_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_MH_NEG_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_MM_POS_V2,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_MM_NEG_V2,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_ML_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_ML_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_LH_POS_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_LH_NEG_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_LM_POS_V2,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
bm25_only,ON,NEG_LM_NEG_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_LL_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,NEG_LL_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,SHORT_ELDER_01,simple,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5
bm25_only,ON,SHORT_HOMELESS_01,simple,0.6,0.75,0.6666666666666665,0.6407741545625973,0.7644230769230769,1.0
bm25_only,ON,SHORT_MENTAL_01,simple,0.4,0.6666666666666666,0.5,0.9072836011519267,0.7435897435897436,1.0
bm25_only,ON,SHORT_CHILD_01,simple,0.8,0.6666666666666666,0.7272727272727272,0.8687949224876582,0.8571428571428572,1.0
bm25_only,ON,SHORT_ABUSE_01,simple,0.6,0.75,0.6666666666666665,0.75369761125927,0.7470238095238095,1.0
bm25_only,ON,TINY_ABUSE_01,simple,0.0,0.0,0.0,0.0,0.1,0.1
bm25_only,ON,TINY_MENTAL_01,simple,0.4,1.0,0.5714285714285715,1.0,1.0,1.0
bm25_only,ON,TINY_HOMELESS_01,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_006,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_007,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_009,moderate,0.2,1.0,0.33333333333333337,0.5,0.3333333333333333,0.3333333333333333
bm25_only,ON,ADV_010,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_011,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_012,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_013,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_014,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_015,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_016,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_017,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_018,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,ON,ADV_019,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5
bm25_only,ON,ADV_020,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,CHILD_004,moderate,0.4,0.5,0.4444444444444445,0.2800617028281894,0.6464285714285714,1.0
naive_rag,OFF,ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,ELDER_009,moderate,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333
naive_rag,OFF,DISABLED_004,moderate,0.2,1.0,0.33333333333333337,0.38685280723454163,0.2,0.2
naive_rag,OFF,DISABLED_006,moderate,0.4,0.3333333333333333,0.3636363636363636,0.5035741056528761,0.5794705294705295,1.0
naive_rag,OFF,HOMELESS_003,simple,0.2,1.0,0.33333333333333337,0.5,0.3333333333333333,0.3333333333333333
naive_rag,OFF,MENTAL_006,complex,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111
naive_rag,OFF,MENTAL_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,MENTAL_009,complex,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,SUBSTANCE_003,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NCD_001,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NCD_004,complex,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NCD_008,complex,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,HIV_TB_003,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,BEDRIDDEN_003,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
naive_rag,OFF,BEDRIDDEN_004,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
naive_rag,OFF,BEDRIDDEN_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,REHAB_002,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
naive_rag,OFF,FINANCE_001,simple,0.2,0.3333333333333333,0.25,0.7262287617954056,0.48433048433048437,1.0
naive_rag,OFF,LOVE_004,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,FAMILY_001,moderate,0.4,1.0,0.5714285714285715,0.8503449055347546,0.7,1.0
naive_rag,OFF,VIOLENCE_004,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,CHILD_004_PAR_01,moderate,0.4,0.5,0.4444444444444445,0.2575785703353275,0.6147186147186147,1.0
naive_rag,OFF,DISABLED_004_PAR_01,moderate,0.2,1.0,0.33333333333333337,0.38685280723454163,0.2,0.2
naive_rag,OFF,DISABLED_006_PAR_01,moderate,0.4,0.4,0.4000000000000001,0.5035741056528761,0.6235897435897436,1.0
naive_rag,OFF,MENTAL_008_PAR_01,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,SUBSTANCE_003_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NCD_001_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,FINANCE_001_PAR_01,simple,0.2,0.3333333333333333,0.25,0.7262287617954056,0.5074074074074074,1.0
naive_rag,OFF,FAMILY_001_PAR_01,moderate,0.4,1.0,0.5714285714285715,0.9197207891481876,0.8333333333333333,1.0
naive_rag,OFF,HOMELESS_003_ESC_01,complex,0.4,1.0,0.5714285714285715,1.0,1.0,1.0
naive_rag,OFF,ADV_001,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,ADV_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,ADV_003,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,ADV_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,ADV_005,moderate,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111
naive_rag,OFF,NEG_SH_POS,moderate,0.8,1.0,0.888888888888889,0.9558295932317544,0.8875,1.0
naive_rag,OFF,NEG_SH_NEG,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_SM_POS,simple,0.4,0.5,0.4444444444444445,0.6366824387328317,0.6833333333333333,1.0
naive_rag,OFF,NEG_SM_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_SL_POS,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_SL_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_MH_POS,complex,0.6,0.6,0.6,0.5088013258915567,0.4969230769230769,0.5
naive_rag,OFF,NEG_MH_NEG,complex,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_MM_POS,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_MM_NEG,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_ML_POS,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_ML_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_LH_POS,complex,0.6,0.75,0.6666666666666665,0.787702056960637,0.75,1.0
naive_rag,OFF,NEG_LH_NEG,complex,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_LM_POS,complex,0.2,0.3333333333333333,0.25,0.10425656783464912,0.21031746031746032,0.25
naive_rag,OFF,NEG_LM_NEG,complex,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_LL_POS,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_LL_NEG,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_SH_POS_V2,moderate,0.4,0.5,0.4444444444444445,0.4144299250118475,0.44047619047619047,0.5
naive_rag,OFF,NEG_SH_NEG_V2,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_SM_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_SM_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_SL_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_SL_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_MH_POS_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_MH_NEG_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_MM_POS_V2,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_MM_NEG_V2,moderate,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_ML_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_ML_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_LH_POS_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_LH_NEG_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_LM_POS_V2,complex,0.2,0.5,0.28571428571428575,0.6131471927654584,0.5714285714285714,1.0
naive_rag,OFF,NEG_LM_NEG_V2,complex,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_LL_POS_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,NEG_LL_NEG_V2,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,SHORT_ELDER_01,simple,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5
naive_rag,OFF,SHORT_HOMELESS_01,simple,0.0,0.0,0.0,0.0,0.0,0.0
naive_rag,OFF,SHORT_MENTAL_01,simple,0.4,1.0,0.5714285714285715,0.9639404333166532,0.8333333333333333,1.0
naive_rag,OFF,SHORT_CHILD_01,simple,0.6,0.6,0.6,0.6992148198508501,0.740909090909091,1.0
naive_rag,OFF,SHORT_ABUSE_01,simple,0.4,1.0,0.5714285714285715,1.0,1.0,1.0
naive_rag,OFF,TINY_ABUSE_01,simple,0.0,0.0,0.0,0.0,0.0,0.0
