method,case_id,complexity,P@5,R@5,F1@5,nDCG@5,MAP,MRR,retrieval_time
basic,HOMELESS_004,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9770619869232178
basic,HOMELESS_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.0964763164520264
basic,MENTAL_001,moderate,0.4,0.5,0.4444444444444445,0.6290102109696928,0.573051948051948,1.0,0.9912440776824951
basic,MENTAL_002,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.1322882175445557
basic,MENTAL_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8635749816894531
basic,MENTAL_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.126857042312622
basic,MENTAL_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.947857141494751
basic,MENTAL_006,complex,0.2,1.0,0.33333333333333337,0.38685280723454163,0.2,0.2,1.1693639755249023
basic,MENTAL_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9677276611328125
basic,MENTAL_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9941272735595703
basic,MENTAL_009,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.1120116710662842
basic,MENTAL_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.090869426727295
basic,SUBSTANCE_001,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9667749404907227
basic,SUBSTANCE_002,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0085980892181396
basic,SUBSTANCE_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8399271965026855
basic,SUBSTANCE_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9909090995788574
basic,NCD_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9043986797332764
basic,NCD_002,moderate,0.0,0.0,0.0,0.0,0.1,0.1,0.9504477977752686
basic,NCD_003,moderate,0.4,0.4,0.4000000000000001,0.5087403079104241,0.5071428571428571,1.0,0.8718669414520264
basic,NCD_004,complex,0.0,0.0,0.0,0.0,0.125,0.125,1.1163840293884277
basic,NCD_005,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.7943577766418457
basic,NCD_006,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9866981506347656
basic,NCD_007,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.15956711769104
basic,NCD_008,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.0386779308319092
basic,NCD_009,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8570752143859863
basic,NCD_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0314669609069824
basic,HIV_TB_001,moderate,0.4,1.0,0.5714285714285715,1.0,1.0,1.0,0.9471559524536133
basic,HIV_TB_002,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.1649041175842285
basic,HIV_TB_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8153860569000244
basic,HIV_TB_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9862639904022217
basic,HIV_TB_005,complex,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.1130681037902832
basic,BEDRIDDEN_001,complex,0.6,0.5,0.5454545454545454,0.6843515475204855,0.7120731120731122,1.0,1.043280839920044
basic,BEDRIDDEN_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9942920207977295
basic,BEDRIDDEN_003,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9097468852996826
basic,BEDRIDDEN_004,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.178898811340332
basic,BEDRIDDEN_005,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9151971340179443
basic,BEDRIDDEN_006,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8090837001800537
basic,BEDRIDDEN_007,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.8839011192321777
basic,BEDRIDDEN_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9705748558044434
basic,BEDRIDDEN_009,moderate,0.4,1.0,0.5714285714285715,0.8772153153380493,0.75,1.0,0.811417818069458
h2l-hybrid,CHILD_001,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.020395040512085
h2l-hybrid,CHILD_002,complex,0.6,0.6,0.6,0.4166158115319974,0.7944444444444445,1.0,2.247530937194824
h2l-hybrid,CHILD_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.90195894241333
h2l-hybrid,CHILD_004,moderate,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6833333333333333,1.0,2.694912910461426
h2l-hybrid,CHILD_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.781883716583252
h2l-hybrid,ELDER_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,2.19648814201355
h2l-hybrid,ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0,3.6285688877105713
h2l-hybrid,ELDER_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.3694038391113281
h2l-hybrid,ELDER_004,complex,0.6,0.375,0.4615384615384615,0.6843515475204855,0.6838945776445777,1.0,2.4143598079681396
h2l-hybrid,ELDER_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.8598148822784424
h2l-hybrid,ELDER_006,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.4294850826263428
h2l-hybrid,ELDER_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.5636107921600342
h2l-hybrid,ELDER_008,complex,0.4,0.6666666666666666,0.5,0.562455901550729,0.4761904761904762,0.5,2.7962541580200195
h2l-hybrid,ELDER_009,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,2.05627179145813
h2l-hybrid,ELDER_010,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,4.110623121261597
h2l-hybrid,DISABLED_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.4806058406829834
h2l-hybrid,DISABLED_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.932938814163208
h2l-hybrid,DISABLED_003,complex,0.2,0.5,0.28571428571428575,0.6131471927654584,0.6666666666666666,1.0,2.1500279903411865
h2l-hybrid,DISABLED_004,moderate,0.0,0.0,0.0,0.0,0.1625,0.125,15.110319137573242
h2l-hybrid,DISABLED_005,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.18379807472229
h2l-hybrid,DISABLED_006,moderate,0.4,1.0,0.5714285714285715,0.9327783893101107,0.7,1.0,2.431974172592163
h2l-hybrid,DISABLED_007,complex,0.8,0.6666666666666666,0.7272727272727272,0.8989584458539029,0.7507575757575756,1.0,2.596256971359253
h2l-hybrid,DISABLED_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.1101651191711426
h2l-hybrid,DISABLED_009,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.7688648700714111
h2l-hybrid,DISABLED_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.0862228870391846
h2l-hybrid,HOMELESS_001,moderate,0.2,0.5,0.28571428571428575,0.8262346571285599,0.5833333333333334,1.0,1.2752981185913086
h2l-hybrid,HOMELESS_002,complex,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,2.1684579849243164
h2l-hybrid,HOMELESS_003,simple,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,2.047806978225708
h2l-hybrid,HOMELESS_004,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.9395771026611328
h2l-hybrid,HOMELESS_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,5.311920881271362
h2l-hybrid,MENTAL_001,moderate,0.4,0.5,0.4444444444444445,0.6097426926720908,0.5821428571428571,1.0,2.017246961593628
h2l-hybrid,MENTAL_002,complex,0.0,0.0,0.0,0.0,0.0,0.0,2.0836710929870605
h2l-hybrid,MENTAL_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,2.087651252746582
h2l-hybrid,MENTAL_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.378816843032837
h2l-hybrid,MENTAL_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.6195180416107178
h2l-hybrid,MENTAL_006,complex,0.2,1.0,0.33333333333333337,0.5,0.3333333333333333,0.3333333333333333,2.6612448692321777
h2l-hybrid,MENTAL_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.751899003982544
h2l-hybrid,MENTAL_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.9903790950775146
h2l-hybrid,MENTAL_009,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.9441399574279785
h2l-hybrid,MENTAL_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.7278621196746826
h2l-hybrid,SUBSTANCE_001,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.185488224029541
h2l-hybrid,SUBSTANCE_002,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.268613338470459
h2l-hybrid,SUBSTANCE_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.7737579345703125
h2l-hybrid,SUBSTANCE_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.24894380569458
h2l-hybrid,NCD_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,2.2221310138702393
h2l-hybrid,NCD_002,moderate,0.0,0.0,0.0,0.0,0.1,0.1,1.9828159809112549
h2l-hybrid,NCD_003,moderate,0.4,0.6666666666666666,0.5,0.6713860725233041,0.6,1.0,2.1781692504882812
h2l-hybrid,NCD_004,complex,0.0,0.0,0.0,0.0,0.125,0.125,6.825796842575073
h2l-hybrid,NCD_005,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.2209031581878662
h2l-hybrid,NCD_006,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.6653671264648438
h2l-hybrid,NCD_007,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.401312828063965
h2l-hybrid,NCD_008,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.7153468132019043
h2l-hybrid,NCD_009,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.4826991558074951
h2l-hybrid,NCD_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.051638126373291
h2l-hybrid,HIV_TB_001,moderate,0.4,1.0,0.5714285714285715,1.0,1.0,1.0,2.0550129413604736
h2l-hybrid,HIV_TB_002,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,7.520086050033569
h2l-hybrid,HIV_TB_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.2401468753814697
h2l-hybrid,HIV_TB_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.172765016555786
h2l-hybrid,HIV_TB_005,complex,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,6.560937404632568
h2l-hybrid,BEDRIDDEN_001,complex,0.4,0.3333333333333333,0.3636363636363636,0.5531464700081437,0.7271825396825397,1.0,2.307742118835449
h2l-hybrid,BEDRIDDEN_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.0348029136657715
h2l-hybrid,BEDRIDDEN_003,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.9562430381774902
h2l-hybrid,BEDRIDDEN_004,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,7.467024803161621
h2l-hybrid,BEDRIDDEN_005,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.3549392223358154
h2l-hybrid,BEDRIDDEN_006,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.955786943435669
h2l-hybrid,BEDRIDDEN_007,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.1333258152008057
h2l-hybrid,BEDRIDDEN_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.1565020084381104
h2l-hybrid,BEDRIDDEN_009,moderate,0.2,0.5,0.28571428571428575,0.6131471927654584,0.6666666666666666,1.0,1.9063780307769775
