model,repeat,case_id,complexity,category,evaluation_slice,augmentation,augmentation_type,strategy,P@5,R@5,F1@5,DCG@5,IDCG@5,nDCG@5,P@10,R@10,F1@10,DCG@10,IDCG@10,nDCG@10,P@15,R@15,F1@15,DCG@15,IDCG@15,nDCG@15,MAP,MRR
qwen2.5:7b,1,ELDER_002,moderate,ผู้สูงอายุ,,,original,h2l-bm25,0.2,1.0,0.33333333333333337,1.2920296742201793,3.0,0.4306765580733931,0.1,1.0,0.18181818181818182,1.2920296742201793,3.0,0.4306765580733931,0.06666666666666667,1.0,0.125,1.2920296742201793,3.0,0.4306765580733931,0.25,0.25
qwen2.5:7b,1,ELDER_002,moderate,ผู้สูงอายุ,,,original,h2l-naive_rag,0.2,1.0,0.33333333333333337,1.1605584217036249,3.0,0.38685280723454163,0.1,1.0,0.18181818181818182,1.1605584217036249,3.0,0.38685280723454163,0.06666666666666667,1.0,0.125,1.1605584217036249,3.0,0.38685280723454163,0.2,0.2
qwen2.5:7b,1,ELDER_002,moderate,ผู้สูงอายุ,,,original,h2l-hyde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,ELDER_002,moderate,ผู้สูงอายุ,,,original,h2l-hybrid,0.0,0.0,0.0,0.0,4.892789260714372,0.0,0.1,0.5,0.16666666666666669,1.0,4.892789260714372,0.20438239758848614,0.13333333333333333,1.0,0.23529411764705882,1.8368288369533894,4.892789260714372,0.3754154816562042,0.16233766233766234,0.14285714285714285
qwen2.5:7b,1,ELDER_009,moderate,ผู้สูงอายุ,,,original,bm25_only,0.0,0.0,0.0,0.0,1.0,0.0,0.1,1.0,0.18181818181818182,0.3333333333333333,1.0,0.3333333333333333,0.06666666666666667,1.0,0.125,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285,0.14285714285714285
qwen2.5:7b,1,ELDER_009,moderate,ผู้สูงอายุ,,,original,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,ELDER_009,moderate,ผู้สูงอายุ,,,original,hyde,0.0,0.0,0.0,0.0,1.0,0.0,0.1,1.0,0.18181818181818182,0.2890648263178879,1.0,0.2890648263178879,0.06666666666666667,1.0,0.125,0.2890648263178879,1.0,0.2890648263178879,0.1,0.1
qwen2.5:7b,1,ELDER_009,moderate,ผู้สูงอายุ,,,original,basic,0.0,0.0,0.0,0.0,1.0,0.0,0.1,1.0,0.18181818181818182,0.3010299956639812,1.0,0.3010299956639812,0.06666666666666667,1.0,0.125,0.3010299956639812,1.0,0.3010299956639812,0.1111111111111111,0.1111111111111111
qwen2.5:7b,1,ELDER_009,moderate,ผู้สูงอายุ,,,original,h2l-bm25,0.2,1.0,0.33333333333333337,0.43067655807339306,1.0,0.43067655807339306,0.1,1.0,0.18181818181818182,0.43067655807339306,1.0,0.43067655807339306,0.06666666666666667,1.0,0.125,0.43067655807339306,1.0,0.43067655807339306,0.25,0.25
qwen2.5:7b,1,ELDER_009,moderate,ผู้สูงอายุ,,,original,h2l-naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,ELDER_009,moderate,ผู้สูงอายุ,,,original,h2l-hyde,0.0,0.0,0.0,0.0,1.0,0.0,0.1,1.0,0.18181818181818182,0.3562071871080222,1.0,0.3562071871080222,0.06666666666666667,1.0,0.125,0.3562071871080222,1.0,0.3562071871080222,0.16666666666666666,0.16666666666666666
qwen2.5:7b,1,ELDER_009,moderate,ผู้สูงอายุ,,,original,h2l-hybrid,0.0,0.0,0.0,0.0,1.0,0.0,0.1,1.0,0.18181818181818182,0.2890648263178879,1.0,0.2890648263178879,0.06666666666666667,1.0,0.125,0.2890648263178879,1.0,0.2890648263178879,0.1,0.1
qwen2.5:7b,1,DISABLED_004,moderate,คนพิการ,,,original,bm25_only,0.2,1.0,0.33333333333333337,1.8927892607143724,3.0,0.6309297535714574,0.1,1.0,0.18181818181818182,1.8927892607143724,3.0,0.6309297535714574,0.06666666666666667,1.0,0.125,1.8927892607143724,3.0,0.6309297535714574,0.5,0.5
qwen2.5:7b,1,DISABLED_004,moderate,คนพิการ,,,original,naive_rag,0.2,1.0,0.33333333333333337,1.2920296742201793,3.0,0.4306765580733931,0.1,1.0,0.18181818181818182,1.2920296742201793,3.0,0.4306765580733931,0.06666666666666667,1.0,0.125,1.2920296742201793,3.0,0.4306765580733931,0.25,0.25
qwen2.5:7b,1,DISABLED_004,moderate,คนพิการ,,,original,hyde,0.2,1.0,0.33333333333333337,1.1605584217036249,3.0,0.38685280723454163,0.1,1.0,0.18181818181818182,1.1605584217036249,3.0,0.38685280723454163,0.06666666666666667,1.0,0.125,1.1605584217036249,3.0,0.38685280723454163,0.2,0.2
qwen2.5:7b,1,DISABLED_004,moderate,คนพิการ,,,original,basic,0.2,1.0,0.33333333333333337,1.8927892607143724,3.0,0.6309297535714574,0.1,1.0,0.18181818181818182,1.8927892607143724,3.0,0.6309297535714574,0.06666666666666667,1.0,0.125,1.8927892607143724,3.0,0.6309297535714574,0.5,0.5
qwen2.5:7b,1,DISABLED_004,moderate,คนพิการ,,,original,h2l-bm25,0.2,1.0,0.33333333333333337,1.8927892607143724,3.0,0.6309297535714574,0.1,1.0,0.18181818181818182,1.8927892607143724,3.0,0.6309297535714574,0.06666666666666667,1.0,0.125,1.8927892607143724,3.0,0.6309297535714574,0.5,0.5
qwen2.5:7b,1,DISABLED_004,moderate,คนพิการ,,,original,h2l-naive_rag,0.2,1.0,0.33333333333333337,1.1605584217036249,3.0,0.38685280723454163,0.1,1.0,0.18181818181818182,1.1605584217036249,3.0,0.38685280723454163,0.06666666666666667,1.0,0.125,1.1605584217036249,3.0,0.38685280723454163,0.2,0.2
qwen2.5:7b,1,DISABLED_004,moderate,คนพิการ,,,original,h2l-hyde,0.0,0.0,0.0,0.0,3.0,0.0,0.1,1.0,0.18181818181818182,0.9030899869919436,3.0,0.3010299956639812,0.06666666666666667,1.0,0.125,0.9030899869919436,3.0,0.3010299956639812,0.1111111111111111,0.1111111111111111
qwen2.5:7b,1,DISABLED_004,moderate,คนพิการ,,,original,h2l-hybrid,0.2,1.0,0.33333333333333337,1.8927892607143724,3.0,0.6309297535714574,0.1,1.0,0.18181818181818182,1.8927892607143724,3.0,0.6309297535714574,0.06666666666666667,1.0,0.125,1.8927892607143724,3.0,0.6309297535714574,0.5,0.5
qwen2.5:7b,1,DISABLED_006,moderate,คนพิการ,,,original,bm25_only,0.0,0.0,0.0,0.0,3.6309297535714578,0.0,0.0,0.0,0.0,0.0,3.6309297535714578,0.0,0.13333333333333333,1.0,0.23529411764705882,1.1070669913807092,3.6309297535714578,0.30489903868059554,0.12878787878787878,0.09090909090909091
qwen2.5:7b,1,DISABLED_006,moderate,คนพิการ,,,original,naive_rag,0.0,0.0,0.0,0.0,4.130929753571458,0.0,0.2,0.6666666666666666,0.30769230769230765,1.2592971740999659,4.130929753571458,0.3048459424930239,0.2,1.0,0.33333333333333337,1.5219467091371595,4.130929753571458,0.36842715803175724,0.20655270655270655,0.16666666666666666
qwen2.5:7b,1,DISABLED_006,moderate,คนพิการ,,,original,hyde,0.2,0.3333333333333333,0.25,0.38685280723454163,2.1309297535714578,0.18154179253735267,0.2,0.6666666666666666,0.30769230769230765,0.6759176335524295,2.1309297535714578,0.3171937659698004,0.2,1.0,0.33333333333333337,0.9548605792035594,2.1309297535714578,0.4480957561379977,0.22424242424242424,0.2
qwen2.5:7b,1,DISABLED_006,moderate,คนพิการ,,,original,basic,0.2,0.5,0.28571428571428575,1.5,3.6309297535714578,0.41311732856427996,0.1,0.5,0.16666666666666669,1.5,3.6309297535714578,0.41311732856427996,0.13333333333333333,1.0,0.23529411764705882,1.7626495350371936,3.6309297535714578,0.48545404473975706,0.24358974358974358,0.3333333333333333
qwen2.5:7b,1,DISABLED_006,moderate,คนพิการ,,,original,h2l-bm25,0.0,0.0,0.0,0.0,3.6309297535714578,0.0,0.1,0.5,0.16666666666666669,1.0686215613240666,3.6309297535714578,0.2943107231069255,0.13333333333333333,1.0,0.23529411764705882,1.3312710963612602,3.6309297535714578,0.3666474392824026,0.16025641025641024,0.16666666666666666
qwen2.5:7b,1,DISABLED_006,moderate,คนพิการ,,,original,h2l-naive_rag,0.4,0.6666666666666666,0.5,1.591234979777018,4.130929753571458,0.38520020302966707,0.2,0.6666666666666666,0.30769230769230765,1.591234979777018,4.130929753571458,0.38520020302966707,0.2,1.0,0.33333333333333337,1.8538845148142116,4.130929753571458,0.4487814185684004,0.2935897435897436,0.25
qwen2.5:7b,1,DISABLED_006,moderate,คนพิการ,,,original,h2l-hyde,0.2,0.3333333333333333,0.25,1.2920296742201793,4.130929753571458,0.3127697035039474,0.2,0.6666666666666666,0.30769230769230765,1.6253630075535126,4.130929753571458,0.39346178814788135,0.2,1.0,0.33333333333333337,1.881321032363328,4.130929753571458,0.4554231479576247,0.25,0.25
qwen2.5:7b,1,DISABLED_006,moderate,คนพิการ,,,original,h2l-hybrid,0.2,0.5,0.28571428571428575,1.2920296742201793,4.892789260714372,0.26406812257259094,0.1,0.5,0.16666666666666669,1.2920296742201793,4.892789260714372,0.26406812257259094,0.13333333333333333,1.0,0.23529411764705882,2.1027441375021385,4.892789260714372,0.4297638883378204,0.20833333333333331,0.25
qwen2.5:7b,1,HOMELESS_003,simple,คนเร่ร่อน/ไร้ที่อยู่,,,original,bm25_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,HOMELESS_003,simple,คนเร่ร่อน/ไร้ที่อยู่,,,original,naive_rag,0.2,0.5,0.28571428571428575,1.1605584217036249,4.892789260714372,0.23719771276929622,0.2,1.0,0.33333333333333337,2.2291799830276915,4.892789260714372,0.4556051495874604,0.13333333333333333,1.0,0.23529411764705882,2.2291799830276915,4.892789260714372,0.4556051495874604,0.26666666666666666,0.2
qwen2.5:7b,1,HOMELESS_003,simple,คนเร่ร่อน/ไร้ที่อยู่,,,original,hyde,0.0,0.0,0.0,0.0,3.0,0.0,0.1,1.0,0.18181818181818182,1.0686215613240666,3.0,0.3562071871080222,0.06666666666666667,1.0,0.125,1.0686215613240666,3.0,0.3562071871080222,0.16666666666666666,0.16666666666666666
qwen2.5:7b,1,HOMELESS_003,simple,คนเร่ร่อน/ไร้ที่อยู่,,,original,basic,0.2,0.3333333333333333,0.25,1.2920296742201793,5.392789260714372,0.23958467719708867,0.2,0.6666666666666666,0.30769230769230765,2.360651235544246,5.392789260714372,0.4377421629918346,0.2,1.0,0.33333333333333337,2.616609260354062,5.392789260714372,0.48520517562509846,0.26587301587301587,0.25
qwen2.5:7b,1,HOMELESS_003,simple,คนเร่ร่อน/ไร้ที่อยู่,,,original,h2l-bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,HOMELESS_003,simple,คนเร่ร่อน/ไร้ที่อยู่,,,original,h2l-naive_rag,0.0,0.0,0.0,0.0,4.892789260714372,0.0,0.2,1.0,0.33333333333333337,1.84948461734913,4.892789260714372,0.378002100396839,0.13333333333333333,1.0,0.23529411764705882,1.84948461734913,4.892789260714372,0.378002100396839,0.1736111111111111,0.125
qwen2.5:7b,1,HOMELESS_003,simple,คนเร่ร่อน/ไร้ที่อยู่,,,original,h2l-hyde,0.2,1.0,0.33333333333333337,1.2920296742201793,3.0,0.4306765580733931,0.1,1.0,0.18181818181818182,1.2920296742201793,3.0,0.4306765580733931,0.06666666666666667,1.0,0.125,1.2920296742201793,3.0,0.4306765580733931,0.25,0.25
qwen2.5:7b,1,HOMELESS_003,simple,คนเร่ร่อน/ไร้ที่อยู่,,,original,h2l-hybrid,0.4,1.0,0.5714285714285715,2.660558421703625,4.892789260714372,0.5437713091520254,0.2,1.0,0.33333333333333337,2.660558421703625,4.892789260714372,0.5437713091520254,0.13333333333333333,1.0,0.23529411764705882,2.660558421703625,4.892789260714372,0.5437713091520254,0.3666666666666667,0.3333333333333333
qwen2.5:7b,1,MENTAL_006,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,bm25_only,0.0,0.0,0.0,0.0,1.0,0.0,0.1,1.0,0.18181818181818182,0.3333333333333333,1.0,0.3333333333333333,0.06666666666666667,1.0,0.125,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285,0.14285714285714285
qwen2.5:7b,1,MENTAL_006,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_006,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,hyde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_006,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,basic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_006,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,h2l-bm25,0.0,0.0,0.0,0.0,1.0,0.0,0.1,1.0,0.18181818181818182,0.3333333333333333,1.0,0.3333333333333333,0.06666666666666667,1.0,0.125,0.3333333333333333,1.0,0.3333333333333333,0.14285714285714285,0.14285714285714285
qwen2.5:7b,1,MENTAL_006,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,h2l-naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_006,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,h2l-hyde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_006,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,h2l-hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_008,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,bm25_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_008,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_008,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,hyde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_008,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,basic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_008,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,h2l-bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_008,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,h2l-naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_008,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,h2l-hyde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_008,moderate,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,h2l-hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_009,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,bm25_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_009,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_009,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,hyde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_009,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,basic,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06666666666666667,1.0,0.125,0.25,1.0,0.25,0.06666666666666667,0.06666666666666667
qwen2.5:7b,1,MENTAL_009,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,h2l-bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_009,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,h2l-naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_009,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,h2l-hyde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,MENTAL_009,complex,ผู้ประสบปัญหาสุขภาพจิตและจิตเวช,,,original,h2l-hybrid,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06666666666666667,1.0,0.125,0.25,1.0,0.25,0.06666666666666667,0.06666666666666667
qwen2.5:7b,1,SUBSTANCE_003,simple,ผู้ประสบปัญหายาเสพติด,,,original,bm25_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,SUBSTANCE_003,simple,ผู้ประสบปัญหายาเสพติด,,,original,naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,SUBSTANCE_003,simple,ผู้ประสบปัญหายาเสพติด,,,original,hyde,0.2,1.0,0.33333333333333337,0.5,1.0,0.5,0.1,1.0,0.18181818181818182,0.5,1.0,0.5,0.06666666666666667,1.0,0.125,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333
qwen2.5:7b,1,SUBSTANCE_003,simple,ผู้ประสบปัญหายาเสพติด,,,original,basic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,SUBSTANCE_003,simple,ผู้ประสบปัญหายาเสพติด,,,original,h2l-bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,SUBSTANCE_003,simple,ผู้ประสบปัญหายาเสพติด,,,original,h2l-naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,SUBSTANCE_003,simple,ผู้ประสบปัญหายาเสพติด,,,original,h2l-hyde,0.2,1.0,0.33333333333333337,0.38685280723454163,1.0,0.38685280723454163,0.1,1.0,0.18181818181818182,0.38685280723454163,1.0,0.38685280723454163,0.06666666666666667,1.0,0.125,0.38685280723454163,1.0,0.38685280723454163,0.2,0.2
qwen2.5:7b,1,SUBSTANCE_003,simple,ผู้ประสบปัญหายาเสพติด,,,original,h2l-hybrid,0.2,1.0,0.33333333333333337,0.5,1.0,0.5,0.1,1.0,0.18181818181818182,0.5,1.0,0.5,0.06666666666666667,1.0,0.125,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333
qwen2.5:7b,1,NCD_001,simple,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),,,original,bm25_only,0.2,0.5,0.28571428571428575,0.6309297535714575,1.6309297535714575,0.38685280723454163,0.2,1.0,0.33333333333333337,0.9871369406794797,1.6309297535714575,0.6052602440527057,0.13333333333333333,1.0,0.23529411764705882,0.9871369406794797,1.6309297535714575,0.6052602440527057,0.41666666666666663,0.5
qwen2.5:7b,1,NCD_001,simple,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),,,original,naive_rag,0.2,1.0,0.33333333333333337,0.6309297535714575,1.0,0.6309297535714575,0.1,1.0,0.18181818181818182,0.6309297535714575,1.0,0.6309297535714575,0.06666666666666667,1.0,0.125,0.6309297535714575,1.0,0.6309297535714575,0.5,0.5
qwen2.5:7b,1,NCD_001,simple,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),,,original,hyde,0.2,1.0,0.33333333333333337,0.5,1.0,0.5,0.1,1.0,0.18181818181818182,0.5,1.0,0.5,0.06666666666666667,1.0,0.125,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333
qwen2.5:7b,1,NCD_001,simple,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),,,original,basic,0.0,0.0,0.0,0.0,1.0,0.0,0.1,1.0,0.18181818181818182,0.3010299956639812,1.0,0.3010299956639812,0.06666666666666667,1.0,0.125,0.3010299956639812,1.0,0.3010299956639812,0.1111111111111111,0.1111111111111111
qwen2.5:7b,1,NCD_001,simple,ผู้ป่วยโรคเรื้อรังไม่ติดต่อ (NCD),,,original,h2l-bm25,0.2,0.5,0.28571428571428575,0.6309297535714575,1.6309297535714575,0.38685280723454163,0.2,1.0,0.33333333333333337,0.9463946303571863,1.6309297535714575,0.5802792108518124,0.13333333333333333,1.0,0.23529411764705882,0.9463946303571863,1.6309297535714575,0.5802792108518124,0.375,0.5
