method,case_id,complexity,P@5,R@5,F1@5,nDCG@5,MAP,MRR,retrieval_time
h2l-hybrid,ELDER_006,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.2819759845733643
h2l-hybrid,ELDER_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.6914267539978027
h2l-hybrid,ELDER_008,complex,0.4,0.6666666666666666,0.5,0.562455901550729,0.4761904761904762,0.5,6.923557758331299
h2l-hybrid,ELDER_009,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,2.0216660499572754
h2l-hybrid,ELDER_010,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,3.4968719482421875
h2l-hybrid,DISABLED_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,2.8108527660369873
h2l-hybrid,DISABLED_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.0146701335906982
h2l-hybrid,DISABLED_003,complex,0.2,0.5,0.28571428571428575,0.6131471927654584,0.6666666666666666,1.0,2.0279009342193604
h2l-hybrid,DISABLED_004,moderate,0.0,0.0,0.0,0.0,0.1625,0.125,4.925405025482178
h2l-hybrid,DISABLED_005,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.2783169746398926
h2l-hybrid,DISABLED_006,moderate,0.4,1.0,0.5714285714285715,0.9327783893101107,0.7,1.0,6.611114025115967
h2l-hybrid,DISABLED_007,complex,0.8,0.6666666666666666,0.7272727272727272,0.8989584458539029,0.7507575757575756,1.0,4.528184175491333
h2l-hybrid,DISABLED_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.1819560527801514
h2l-hybrid,DISABLED_009,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.7978379726409912
h2l-hybrid,DISABLED_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.294977903366089
h2l-hybrid,HOMELESS_001,moderate,0.2,0.5,0.28571428571428575,0.8262346571285599,0.5833333333333334,1.0,1.3532092571258545
h2l-hybrid,HOMELESS_002,complex,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,2.4586050510406494
h2l-hybrid,HOMELESS_003,simple,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,2.0608317852020264
h2l-hybrid,HOMELESS_004,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.9922261238098145
h2l-hybrid,HOMELESS_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,6.879070043563843
h2l-hybrid,MENTAL_001,moderate,0.4,0.5,0.4444444444444445,0.6097426926720908,0.5821428571428571,1.0,2.122236967086792
h2l-hybrid,MENTAL_002,complex,0.0,0.0,0.0,0.0,0.0,0.0,2.0851521492004395
h2l-hybrid,MENTAL_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,2.126372814178467
h2l-hybrid,MENTAL_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.3984050750732422
h2l-hybrid,MENTAL_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.6927847862243652
h2l-hybrid,MENTAL_006,complex,0.2,1.0,0.33333333333333337,0.5,0.3333333333333333,0.3333333333333333,2.068614959716797
h2l-hybrid,MENTAL_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.6511609554290771
h2l-hybrid,MENTAL_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.361124038696289
h2l-hybrid,MENTAL_009,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.7106878757476807
h2l-hybrid,MENTAL_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.3978769779205322
h2l-hybrid,SUBSTANCE_001,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.9926397800445557
h2l-hybrid,SUBSTANCE_002,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.1085479259490967
h2l-hybrid,SUBSTANCE_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.6627070903778076
h2l-hybrid,SUBSTANCE_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.1646728515625
h2l-hybrid,NCD_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.9317800998687744
h2l-hybrid,NCD_002,moderate,0.0,0.0,0.0,0.0,0.1,0.1,1.9880292415618896
h2l-hybrid,NCD_003,moderate,0.4,0.6666666666666666,0.5,0.6713860725233041,0.6,1.0,6.873969078063965
h2l-hybrid,NCD_004,complex,0.0,0.0,0.0,0.0,0.125,0.125,6.867715120315552
h2l-hybrid,NCD_005,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.2675292491912842
h2l-hybrid,NCD_006,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.450450897216797
h2l-hybrid,NCD_007,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.351600170135498
h2l-hybrid,NCD_008,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.3651518821716309
h2l-hybrid,NCD_009,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.036600112915039
h2l-hybrid,NCD_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.5418670177459717
h2l-hybrid,HIV_TB_001,moderate,0.4,1.0,0.5714285714285715,1.0,1.0,1.0,2.411897897720337
h2l-hybrid,HIV_TB_002,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,5.221295118331909
h2l-hybrid,HIV_TB_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.2493927478790283
h2l-hybrid,HIV_TB_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.1372358798980713
h2l-hybrid,HIV_TB_005,complex,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,10.769398927688599
h2l-hybrid,BEDRIDDEN_001,complex,0.4,0.3333333333333333,0.3636363636363636,0.5531464700081437,0.7271825396825397,1.0,11.530863046646118
h2l-hybrid,BEDRIDDEN_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.249173879623413
h2l-hybrid,BEDRIDDEN_003,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.8547327518463135
h2l-hybrid,BEDRIDDEN_004,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,8.043506145477295
h2l-hybrid,BEDRIDDEN_005,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.7244789600372314
h2l-hybrid,BEDRIDDEN_006,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.980140209197998
h2l-hybrid,BEDRIDDEN_007,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.961440086364746
h2l-hybrid,BEDRIDDEN_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.0925424098968506
h2l-hybrid,BEDRIDDEN_009,moderate,0.2,0.5,0.28571428571428575,0.6131471927654584,0.6666666666666666,1.0,1.5462069511413574
